Tabelle: 21311-0003
Studierende: Deutschland, Semester, Nationalität,;;;;;;;;;;;
Geschlecht, Studienfach;;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Studierende (Anzahl);;;;;;;;;;;
;;;Deutsche;;;Ausländer;;;Insgesamt;;
;;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
WS 2018/19;SF141;Abfallwirtschaft;80;34;114;5;-;5;85;34;119
;SF002;Afrikanistik;395;711;1106;120;168;288;515;879;1394
;SF138;Agrarbiologie;256;259;515;184;137;321;440;396;836
;SF125;Agrarökonomie;870;609;1479;298;234;532;1168;843;2011
;SF003;Agrarwissenschaft/Landwirtschaft;7645;7143;14788;1139;1073;2212;8784;8216;17000
;SF001;Ägyptologie;252;357;609;61;71;132;313;428;741
;SF152;Allg. Sprachwissenschaft/Indogermanistik;1348;3967;5315;303;1015;1318;1651;4982;6633
;SF188;Allgemeine Literaturwissenschaft;786;2861;3647;133;449;582;919;3310;4229
;SF272;Alte Geschichte;162;122;284;14;21;35;176;143;319
;SF006;Amerikanistik/Amerikakunde;785;1651;2436;356;627;983;1141;2278;3419
;SF007;Angewandte Kunst;1269;2237;3506;203;332;535;1472;2569;4041
;SF284;Angewandte Sprachwissenschaft;985;3943;4928;218;821;1039;1203;4764;5967
;SF140;Angewandte Systemwissenschaften;1727;441;2168;505;189;694;2232;630;2862
;SF008;Anglistik/Englisch;12157;29431;41588;1380;4052;5432;13537;33483;47020
;SF009;Anthropologie (Humanbiologie);167;434;601;109;169;278;276;603;879
;SF010;Arabisch/Arabistik;177;347;524;78;69;147;255;416;671
;SF257;Arbeits- und Berufsberatung;131;362;493;-;3;3;131;365;496
;SF011;Arbeitslehre/Wirtschaftslehre;715;1106;1821;25;75;100;740;1181;1921
;SF258;Arbeitsverwaltung;278;744;1022;4;5;9;282;749;1031
;SF012;Archäologie;2500;2787;5287;191;283;474;2691;3070;5761
;SF390;Archäometrie (Ingenieurarchäologie);22;10;32;1;4;5;23;14;37
;SF013;Architektur;13901;16714;30615;3118;4495;7613;17019;21209;38228
;SF037;Archiv- und Dokumentationswissenschaft;133;194;327;11;40;51;144;234;378
;SF255;Archivwesen;118;128;246;1;5;6;119;133;252
;SF187;Asiatische Sprachen u.Kulturen/Asienwissenschaften;526;1145;1671;260;508;768;786;1653;2439
;SF014;Astrophysik und Astronomie;204;65;269;157;114;271;361;179;540
;SF143;Augenoptik;220;475;695;27;31;58;247;506;753
;SF117;Ausländerpädagogik;19;117;136;22;53;75;41;170;211
;SF015;Außereurop. Sprachen und Kult. in Ozeanien und Am.;82;167;249;27;81;108;109;248;357
;SF259;Auswärtige Angelegenheiten;84;147;231;3;3;6;87;150;237
;SF016;Baltistik;5;2;7;-;2;2;5;4;9
;SF265;Bankwesen;473;270;743;7;4;11;480;274;754
;SF017;Bauingenieurwesen/Ingenieurbau;32286;13708;45994;7496;3050;10546;39782;16758;56540
;SF020;Bergbau/Bergtechnik;988;225;1213;534;152;686;1522;377;1899
;SF270;Berufs- und Wirtschaftspädagogik;695;830;1525;37;52;89;732;882;1614
;SF018;Berufsbezogene Fremdsprachenausbildung;450;1147;1597;83;254;337;533;1401;1934
;SF021;Betriebswirtschaftslehre;110168;98112;208280;12008;14998;27006;122176;113110;235286
;SF262;Bibliothekswesen;17;47;64;-;-;-;17;47;64
;SF023;Bildende Kunst/Grafik;1276;1609;2885;458;765;1223;1734;2374;4108
;SF205;Bildhauerei/Plastik;111;132;243;72;117;189;183;249;432
;SF025;Biochemie;3094;4171;7265;560;870;1430;3654;5041;8695
;SF221;Bioinformatik;1347;835;2182;274;279;553;1621;1114;2735
;SF026;Biologie;16655;29611;46266;2628;4414;7042;19283;34025;53308
;SF300;Biomedizin;560;1259;1819;293;382;675;853;1641;2494
;SF282;Biotechnologie;4841;6048;10889;756;957;1713;5597;7005;12602
;SF027;Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190);-;-;-;-;-;-;-;-;-
;SF028;Brauwesen/Getränketechnologie;521;127;648;60;17;77;581;144;725
;SF260;Bundeswehrverwaltung;246;275;521;3;1;4;249;276;525
;SF031;Byzantinistik;7;18;25;18;9;27;25;27;52
;SF162;Caritaswissenschaft;52;76;128;13;14;27;65;90;155
;SF032;Chemie;23838;15380;39218;3231;3338;6569;27069;18718;45787
;SF033;Chemie-Ingenieurwesen/Chemieverfahrenstechnik;5181;2558;7739;1068;802;1870;6249;3360;9609
;SF200;Computer- und Kommunikationstechniken;2676;1664;4340;1010;454;1464;3686;2118;5804
;SF160;Computerlinguistik;713;575;1288;217;320;537;930;895;1825
;SF034;Dänisch;15;43;58;-;1;1;15;44;59
;SF035;Darstellende Kunst/Bühnenkunst/Regie;344;824;1168;144;306;450;488;1130;1618
;SF271;Deutsch als Fremdsprache oder als Zweitsprache;561;2599;3160;479;1649;2128;1040;4248;5288
;SF161;Diakoniewissenschaft;76;151;227;4;10;14;80;161;241
;SF192;Dirigieren;110;54;164;107;69;176;217;123;340
;SF231;Druck- und Reproduktionstechnik;681;737;1418;99;93;192;780;830;1610
;SF159;Edelstein- und Schmuckdesign;8;51;59;8;39;47;16;90;106
;SF316;Elektronische Energietechnik;1140;162;1302;464;115;579;1604;277;1881
;SF048;Elektrotechnik/Elektronik;42779;5331;48110;16301;4060;20361;59080;9391;68471
;SF211;Energieverfahrenstechnik;5032;1234;6266;1145;397;1542;6177;1631;7808
;SF320;Ernährungswissenschaft;550;2944;3494;82;313;395;632;3257;3889
